Kc1,Kc2,P1,P2,dist,run,start_freq,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
1,1.1,0.9,0.89,100,100,0.6,-0.689707356,0,0.014285714,1,0.985714286,0.100498756,1
1,8,0.9,0.2,1,1,0.7,4.044831887,0,1,1,0,7.034912935,1
1,7.93030303,0.9,0.206969697,2,2,0.7,4.055146224,0,0.99004329,1,0.00995671,6.964868347,1
1,7.860606061,0.9,0.213939394,3,3,0.7,4.062581381,0,0.98008658,1,0.01991342,6.894823759,1
1,7.790909091,0.9,0.220909091,4,4,0.7,3.988070006,0,0.97012987,1,0.02987013,6.824779172,1
1,7.721212121,0.9,0.227878788,5,5,0.7,3.928548957,0,0.96017316,1,0.03982684,6.754734584,1
1,7.651515152,0.9,0.234848485,6,6,0.7,3.926330655,0,0.95021645,1,0.04978355,6.684689996,1
1,7.581818182,0.9,0.241818182,7,7,0.7,3.965587096,0,0.94025974,1,0.05974026,6.614645409,1
1,7.512121212,0.9,0.248787879,8,8,0.7,3.943285637,0,0.93030303,1,0.06969697,6.544600821,1
1,7.442424242,0.9,0.255757576,9,9,0.7,3.935255425,0,0.92034632,1,0.07965368,6.474556233,1
1,7.372727273,0.9,0.262727273,10,10,0.7,3.894118578,0,0.91038961,1,0.08961039,6.404511646,1
1,7.303030303,0.9,0.26969697,11,11,0.7,3.878309334,0,0.9004329,1,0.0995671,6.334467058,1
1,7.233333333,0.9,0.276666667,12,12,0.7,3.851309299,0,0.89047619,1,0.10952381,6.26442247,1
1,7.163636364,0.9,0.283636364,13,13,0.7,3.846916388,0,0.880519481,1,0.119480519,6.194377883,1
1,7.093939394,0.9,0.290606061,14,14,0.7,3.85399435,0,0.870562771,1,0.129437229,6.124333295,1
1,7.024242424,0.9,0.297575758,15,15,0.7,3.840301419,0,0.860606061,1,0.139393939,6.054288708,1
1,6.954545455,0.9,0.304545455,16,16,0.7,3.824385342,0,0.850649351,1,0.149350649,5.98424412,1
1,6.884848485,0.9,0.311515152,17,17,0.7,3.769091044,0,0.840692641,1,0.159307359,5.914199532,1
1,6.815151515,0.9,0.318484848,18,18,0.7,3.755242728,0,0.830735931,1,0.169264069,5.844154945,1
1,6.745454545,0.9,0.325454545,19,19,0.7,3.732564459,0,0.820779221,1,0.179220779,5.774110357,1
1,6.675757576,0.9,0.332424242,20,20,0.7,3.724602249,0,0.810822511,1,0.189177489,5.704065769,1
1,6.606060606,0.9,0.339393939,21,21,0.7,3.731231362,0,0.800865801,1,0.199134199,5.634021182,1
1,6.536363636,0.9,0.346363636,22,22,0.7,3.767039606,0,0.790909091,1,0.209090909,5.563976594,1
1,6.466666667,0.9,0.353333333,23,23,0.7,3.752441474,0,0.780952381,1,0.219047619,5.493932006,1
1,6.396969697,0.9,0.36030303,24,24,0.7,3.743117597,0,0.770995671,1,0.229004329,5.423887419,1
1,6.327272727,0.9,0.367272727,25,25,0.7,3.75715793,0,0.761038961,1,0.238961039,5.353842831,1
1,6.257575758,0.9,0.374242424,26,26,0.7,3.688511566,0,0.751082251,1,0.248917749,5.283798243,1
1,6.187878788,0.9,0.381212121,27,27,0.7,3.664066255,0,0.741125541,1,0.258874459,5.213753656,1
1,6.118181818,0.9,0.388181818,28,28,0.7,3.658624505,0,0.731168831,1,0.268831169,5.143709068,1
1,6.048484848,0.9,0.395151515,29,29,0.7,3.623389057,0,0.721212121,1,0.278787879,5.07366448,1
1,5.978787879,0.9,0.402121212,30,30,0.7,3.602005104,0,0.711255411,1,0.288744589,5.003619893,1
1,5.909090909,0.9,0.409090909,31,31,0.7,3.587224572,0,0.701298701,1,0.298701299,4.933575305,1
1,5.839393939,0.9,0.416060606,32,32,0.7,3.580093842,0,0.691341991,1,0.308658009,4.863530717,1
1,5.76969697,0.9,0.423030303,33,33,0.7,3.608561028,0,0.681385281,1,0.318614719,4.79348613,1
1,5.7,0.9,0.43,34,34,0.7,3.573081226,0,0.671428571,1,0.328571429,4.723441542,1
1,5.63030303,0.9,0.436969697,35,35,0.7,3.565351176,0,0.661471861,1,0.338528139,4.653396954,1
